name,layer,module_type,alpha,variance
model.model.layers.0.mlp.experts.gate_up_proj.expert_20.gate,0,mlp.experts.gate_up_proj.gate,5.201580296757926,0.0004060915671288967
model.model.layers.0.mlp.experts.gate_up_proj.expert_20.up,0,mlp.experts.gate_up_proj.up,5.25782910714699,0.0004007713869214058
model.model.layers.0.mlp.experts.gate_up_proj.expert_21.gate,0,mlp.experts.gate_up_proj.gate,5.870240262867086,0.000393164373235777
model.model.layers.0.mlp.experts.gate_up_proj.expert_21.up,0,mlp.experts.gate_up_proj.up,4.646464624510482,0.00039466138696298003
model.model.layers.0.mlp.experts.gate_up_proj.expert_22.gate,0,mlp.experts.gate_up_proj.gate,4.97140605516938,0.00041044989484362304
model.model.layers.0.mlp.experts.gate_up_proj.expert_22.up,0,mlp.experts.gate_up_proj.up,5.862298759299458,0.00039816414937376976
model.model.layers.0.mlp.experts.gate_up_proj.expert_23.gate,0,mlp.experts.gate_up_proj.gate,5.81163979100596,0.00039234483847394586
model.model.layers.0.mlp.experts.gate_up_proj.expert_23.up,0,mlp.experts.gate_up_proj.up,5.6225138017883225,0.00039242993807420135
model.model.layers.0.mlp.experts.gate_up_proj.expert_24.gate,0,mlp.experts.gate_up_proj.gate,4.794639650259825,0.00038869219133630395
model.model.layers.0.mlp.experts.gate_up_proj.expert_24.up,0,mlp.experts.gate_up_proj.up,5.43641655334034,0.0003919040027540177
model.model.layers.0.mlp.experts.gate_up_proj.expert_25.gate,0,mlp.experts.gate_up_proj.gate,6.06880243478242,0.00039823015686124563
model.model.layers.0.mlp.experts.gate_up_proj.expert_25.up,0,mlp.experts.gate_up_proj.up,5.741855543295407,0.0003967154771089554
model.model.layers.0.mlp.experts.gate_up_proj.expert_26.gate,0,mlp.experts.gate_up_proj.gate,5.129670526588366,0.00038279654108919203
model.model.layers.0.mlp.experts.gate_up_proj.expert_26.up,0,mlp.experts.gate_up_proj.up,4.912476209922996,0.00039459954132325947
model.model.layers.0.mlp.experts.gate_up_proj.expert_27.gate,0,mlp.experts.gate_up_proj.gate,6.797560915937175,0.00038941155071370304
model.model.layers.0.mlp.experts.gate_up_proj.expert_27.up,0,mlp.experts.gate_up_proj.up,5.026497695299544,0.0003928244113922119
model.model.layers.0.mlp.experts.gate_up_proj.expert_28.gate,0,mlp.experts.gate_up_proj.gate,5.594271641104075,0.00038294578553177416
model.model.layers.0.mlp.experts.gate_up_proj.expert_28.up,0,mlp.experts.gate_up_proj.up,5.65279095085549,0.0004040127678308636
model.model.layers.0.mlp.experts.gate_up_proj.expert_29.gate,0,mlp.experts.gate_up_proj.gate,5.373819550578295,0.0003986275114584714
model.model.layers.0.mlp.experts.gate_up_proj.expert_29.up,0,mlp.experts.gate_up_proj.up,6.022322209029371,0.00038629837217740715
model.model.layers.0.mlp.experts.gate_up_proj.expert_30.gate,0,mlp.experts.gate_up_proj.gate,5.242414679430615,0.0003949662786908448
model.model.layers.0.mlp.experts.gate_up_proj.expert_30.up,0,mlp.experts.gate_up_proj.up,5.392932185961106,0.00039193674456328154
model.model.layers.0.mlp.experts.gate_up_proj.expert_31.gate,0,mlp.experts.gate_up_proj.gate,6.331252507582089,0.0003943953779526055
model.model.layers.0.mlp.experts.gate_up_proj.expert_31.up,0,mlp.experts.gate_up_proj.up,6.234970613773914,0.0003886677441187203
model.model.layers.0.mlp.experts.gate_up_proj.expert_32.gate,0,mlp.experts.gate_up_proj.gate,5.728853079185862,0.00040372819057665765
